UserID, TextID, ReadingTime, AnswerTime, TrueOrFalse_1, TrueOrFalse_2, TrueOrFalse_3, TrueOrFalse_4, TrueOrFalse_5, NumberOfTouch, NumberOfRecall, NumberOfRecord, TextViewHeight, FontSize
46, 9, 139, 31, 0, 1, 1, 1, 1, 16, 0, 16, 4528.500000, 26.000000
47, 5, 164, 22, 1, 0, 1, 1, 1, 27, 0, 27, 3021.000000, 21.000000
47, 2, 164, 20, 1, 1, 0, 1, 0, 6, 0, 5, 969.500000, 11.000000
47, 3, 194, 20, 1, 1, 1, 0, 0, 17, 0, 17, 1839.000000, 17.000000
47, 1, 208, 19, 1, 1, 1, 1, 1, 20, 3, 18, 1358.500000, 14.000000
47, 4, 193, 17, 0, 1, 0, 0, 1, 15, 1, 15, 4163.500000, 26.000000
48, 6, 114, 16, 1, 1, 1, 1, 1, 25, 0, 25, 1931.000000, 17.000000
48, 10, 123, 19, 1, 1, 1, 1, 0, 31, 1, 31, 961.500000, 11.000000
48, 8, 147, 16, 1, 1, 1, 1, 0, 46, 2, 46, 1380.000000, 14.000000
48, 7, 116, 17, 1, 0, 1, 1, 1, 68, 0, 68, 4848.000000, 26.000000
48, 9, 137, 18, 1, 1, 1, 1, 0, 70, 0, 70, 3065.000000, 21.000000
49, 2, 181, 16, 1, 1, 1, 0, 1, 35, 1, 35, 4513.000000, 26.000000
49, 5, 129, 13, 1, 1, 1, 1, 1, 12, 0, 12, 1329.500000, 14.000000
49, 1, 124, 13, 1, 1, 1, 1, 1, 16, 0, 15, 2027.000000, 17.000000
49, 3, 124, 15, 1, 1, 0, 1, 0, 30, 0, 30, 2927.000000, 21.000000
49, 4, 97, 12, 1, 1, 0, 1, 1, 9, 0, 9, 884.000000, 11.000000
50, 8, 125, 22, 1, 1, 1, 1, 1, 135, 0, 134, 1976.500000, 17.000000
50, 9, 105, 23, 0, 1, 1, 1, 1, 102, 1, 101, 1400.500000, 14.000000
50, 10, 97, 17, 1, 0, 1, 1, 1, 166, 0, 166, 4420.000000, 26.000000
50, 7, 100, 23, 1, 1, 0, 1, 1, 90, 0, 90, 1180.500000, 11.000000
50, 6, 92, 17, 1, 1, 1, 1, 1, 134, 0, 134, 3040.000000, 21.000000
51, 8, 159, 21, 1, 1, 1, 1, 1, 8, 0, 8, 1380.000000, 14.000000
51, 7, 85, 15, 0, 0, 1, 1, 1, 7, 0, 7, 2287.000000, 17.000000
51, 6, 89, 14, 1, 0, 1, 1, 1, 11, 0, 11, 4303.500000, 26.000000
51, 10, 81, 16, 1, 1, 0, 1, 1, 3, 0, 3, 961.500000, 11.000000
51, 9, 106, 14, 1, 1, 1, 1, 1, 7, 0, 7, 3065.000000, 21.000000
52, 8, 73, 16, 1, 1, 1, 1, 0, 26, 0, 25, 1380.000000, 14.000000
52, 9, 76, 27, 0, 1, 1, 0, 1, 19, 0, 19, 3065.000000, 21.000000
52, 10, 77, 15, 1, 1, 1, 1, 1, 10, 0, 10, 961.500000, 11.000000
52, 6, 67, 19, 1, 0, 1, 0, 1, 19, 0, 19, 1931.000000, 17.000000
52, 7, 84, 22, 0, 0, 1, 1, 1, 33, 0, 32, 4848.000000, 26.000000
